blinz | blinz -el -n | | | | | Körperbewegung
brenn | bren -z -el -n | | | | ~ brenzlig |
brumm | brümm -el -n (U) | | | | | Stimmgeräusch
brumm | brumm -el -n | | | | | Stimmgeräusch
drechs | drechs -el -n | | | | |
fach | fäch -el -n (U) | | | | ~ Fächer |
gack | gack -el -n | | | | | Tiergeräusch
grabb | grabb -el -n | | | | | Körperbewegung
grumm | grumm -el -n | | | | | Dinggeräusch
hack | hack -el -n | | | | | "schuften, streiten"
hatsch | hätsch -el -n (U) | | | | | Körperbewegung "streicheln"
hopp | hopp -el -n | | | | | Körperbewegung
husch | husch -el -n | | | | | Körperbewegung "sich einhüllen"
juck | juck -el -n | | | | | "unruhig sitzen"
krit | kritt -el -n | | | | | Stimmgeräusch "kritisieren"
kusch | kusch -el -n | | | | Lehnwort < fr. couche | Körperbewegung
lach | läch -el -n (U) | | | | |
mumm | mümm -el -n (U) | | | | | "ohne Zähne kauen"
mumm | mumm -el -n | | | | | Stimmgeräusch "murmeln"
quak | quack -el -n | | | | | Stimmgeräusch "schwatzen"
rub | rubb -el -n | | | | neues Lehnwort < engl. "to rub" ~ reiben |
rump | rump -el -n | | | | | Dinggeräusch
rütt | rütt -el -n | | | | |
schnack | schnack -el -n | | | | | Stimmgeräusch "schnalzen"
schnack | schnack -s -el -n | | | | ~? engl. to snack | "sex"
schnüff | schnüff -el -n | | | | ~ nl. snuiven | Körperbewegung
serb | serb -el -n | | | | ~ abserbeln | "welken"
stamm2 | stamm -el -n | | | | ~ stumm | Stimmgeräusch
tapp | tapp -el -n | | | | | Körperbewegung
tatsch | tätsch -el -n (U) | | | | | Körperbewegung "liebkosen"
tipp | tipp -el -n | | | | | Körperbewegung
tramp | tramp -el -n | | | | | Körperbewegung
trapp | trapp -el -n | | | | | Körperbewegung
trief | träuf -el -n (K) | | | | |
watsch | watsch -el -n | | | | | Körperbewegung "schwanken"
werf | worf -el -n (A) | | | | | "Getreide von Spreu reinigen"
wieg | wieg -el -n | | | | ~ abwiegeln |
wisp | wisp -el -n | | | | | Stimmgeräusch
wrigg | wrigg -el -n | | | | | "Boot bewegen"
zisch | zisch -el -n | | | | | Stimmgeräusch
zock | zock -el -n | | | | ~ zuckeln | Körperbewegung "langsam fortbewegen"
zuck | zuck -el -n | | | | ~ zockeln | Körperbewegung "langsam fortbewegen"
zünd | zünd -el -n | | | | |